crate,enum,variant,message,has_code,reachable_from_wasm,embeds_values
math,MathError,InvalidDegree,invalid NURBS degree {degree} with {control_points} control points: degree must be at least 1 and less than the control point count,yes (invalid_input/invalid_nurbs_degree),yes,yes
math,MathError,InvalidKnotVector,invalid knot vector: expected {expected} knots got {got},yes (invalid_input/invalid_knot_vector),yes,yes
math,MathError,InvalidKnotValue,"invalid NURBS knot at index {index}: expected a finite value not less than the previous knot, got {value}",yes (invalid_input/invalid_knot_value),yes,yes
math,MathError,InvalidWeights,invalid weights: expected {expected} weights got {got},yes (invalid_input/invalid_weights),yes,yes
math,MathError,InvalidWeightValue,"invalid NURBS weight at index {index}: expected a finite positive value, got {value}",yes (invalid_input/invalid_weight_value),yes,yes
math,MathError,InvalidControlPointValue,"invalid NURBS control point at index {index}: expected finite coordinates, got ({x}, {y}, {z})",yes (invalid_input/invalid_control_point_value),yes,yes
math,MathError,InvalidControlPointGrid,"invalid control point grid: expected {expected_rows}x{expected_cols}, got inconsistent dimensions",yes (invalid_input/invalid_control_point_grid),yes,yes
math,MathError,ZeroVector,cannot normalize zero vector,yes (invalid_input/zero_vector),yes,no
math,MathError,SingularMatrix,singular matrix cannot be inverted,yes (invalid_input/singular_matrix),yes,no
math,MathError,EmptyInput,empty input where at least one element is required,yes (invalid_input/empty_input),yes,no
math,MathError,ParameterOutOfRange,"parameter {value} out of range [{min}, {max}]",yes (invalid_input/parameter_out_of_range),yes,yes
math,MathError,ConvergenceFailure,Newton iteration did not converge after {iterations} iterations,yes (nonconvergence/newton_nonconvergence),yes,yes
math,MathError,Cancelled,operation cancelled,yes (cancelled/operation_cancelled),yes,no
geometry,GeomError,Math,transparent (re-emits inner MathError Display),delegated (via MathError),transitive (via OperationsError::Geometry),no
geometry,GeomError,DegenerateInput,degenerate input: {0},no,transitive (via OperationsError::Geometry),no
geometry,GeomError,ConvergenceFailure,convergence failure after {iterations} iterations,no,transitive (via OperationsError::Geometry),yes
geometry,GeomError,EmptyInput,empty input,no,transitive (via OperationsError::Geometry),no
topology,TopologyError,VertexNotFound,vertex {0:?} not found,yes (invalid_input/entity_not_found),yes,yes
topology,TopologyError,EdgeNotFound,edge {0:?} not found,yes (invalid_input/entity_not_found),yes,yes
topology,TopologyError,WireNotFound,wire {0:?} not found,yes (invalid_input/entity_not_found),yes,yes
topology,TopologyError,FaceNotFound,face {0:?} not found,yes (invalid_input/entity_not_found),yes,yes
topology,TopologyError,ShellNotFound,shell {0:?} not found,yes (invalid_input/entity_not_found),yes,yes
topology,TopologyError,SolidNotFound,solid {0:?} not found,yes (invalid_input/entity_not_found),yes,yes
topology,TopologyError,CompoundNotFound,compound {0:?} not found,yes (invalid_input/entity_not_found),yes,yes
topology,TopologyError,CompSolidNotFound,compsolid {0:?} not found,yes (invalid_input/entity_not_found),yes,yes
topology,TopologyError,WireNotClosed,wire is not closed,yes (invalid_topology/wire_not_closed),yes,no
topology,TopologyError,NonManifold,non-manifold topology: {reason},yes (invalid_topology/non_manifold),yes,no
topology,TopologyError,Empty,"empty {entity} — at least one element is required",yes (invalid_input/empty_collection),yes,no
topology,TopologyError,NotPlanar,wire is not planar,yes (invalid_topology/wire_not_planar),yes,no
topology,TopologyError,LoopNotFound,loop {0:?} not found,yes (invalid_input/entity_not_found),yes,yes
topology,TopologyError,CoedgeNotFound,coedge {0:?} not found,yes (invalid_input/entity_not_found),yes,yes
topology,TopologyError,LoopWireMismatch,boundary loops of face {face:?} do not match its compatibility wires,yes (internal/loop_wire_mismatch),yes,yes
topology,TopologyError,LoopNotConnected,loop of face {face:?} is not connected,yes (invalid_topology/loop_not_connected),yes,yes
topology,TopologyError,SeamPcurveAmbiguous,"pcurve request for edge {edge:?} on face {face:?} is ambiguous: the face uses this edge twice (seam); address the use by orientation",yes (invalid_topology/seam_pcurve_ambiguous),yes,yes
topology,TopologyError,InvalidColorChannel,"invalid color channel {channel}: {value} (expected finite in [0, 1])",yes (invalid_input/invalid_color_channel),yes,yes
topology,TopologyError,InvalidToleranceValue,invalid {entity} tolerance {value}: must be finite and non-negative,yes (invalid_input/entity_tolerance_invalid),yes,yes
topology,TopologyError,InvalidBodyClass,{entity} cannot be tagged as a {body_class} body,yes (invalid_topology/body_class_unresolved),yes,no
topology,TopologyError,BodyClassMismatch,"{entity} has body class {actual}, expected {expected}",yes (invalid_topology/body_class_unresolved),yes,no
topology,TopologyError,VertexBallExceeded,"edge {edge:?} leaves the ball of vertex {vertex:?}: curve endpoint is {deviation} from the vertex point (ball {tolerance})",yes (tolerance_violation/vertex_ball_violation),yes,yes
topology,TopologyError,EdgeTubeExceeded,"pcurve of edge {edge:?} on face {face:?} deviates {max_deviation} from the 3D curve, beyond the effective tube tolerance {tolerance} at parameter {at_parameter}",yes (tolerance_violation/edge_tube_violation),yes,yes
topology,TopologyError,SameParameterExceeded,"pcurve of edge {edge:?} on face {face:?} deviates {max_deviation} from the 3D curve (limit {tolerance}) at parameter {at_parameter}",yes (tolerance_violation/same_parameter_exceeded),yes,yes
topology,TopologyError,JournalDuplicateEvent,journal entry records entity ordinal {ordinal} twice,yes (invalid_input/journal_duplicate_event),yes,yes
topology,TopologyError,RefAmbiguous,persistent reference is ambiguous over {candidates} candidates: {reason},yes (invalid_input/ref_ambiguous),yes,yes
topology,TopologyError,RefDangling,persistent reference dangles: target deleted by operation {deleted_at},yes (invalid_input/ref_dangling),yes,yes
topology,TopologyError,RefUnresolvedAcrossOperation,"persistent reference cannot resolve across operation {op} ({operation_kind}): its records do not carry this entity",yes (unsupported/ref_unresolved_across_operation),yes,yes
topology,TopologyError,RefUnknownOperation,persistent reference anchors to unknown operation {op},yes (invalid_input/ref_unknown_operation),yes,yes
topology,TopologyError,RefNoMatch,persistent reference matches nothing: {reason},yes (invalid_input/ref_no_match),yes,no
topology,TopologyError,JournalSnapshotInvalid,journal snapshot invalid: {reason},yes (invalid_input/journal_snapshot_invalid),yes,no
topology,TopologyError,SameRangeExceeded,"pcurve of edge {edge:?} on face {face:?} misses the edge's endpoints by {max_deviation} (limit {tolerance})",yes (tolerance_violation/same_range_exceeded),yes,yes
topology,DeleteSolidError,Topology,transparent (TopologyError),no,transitive (via LifecycleError::DeleteSolid),no
topology,DeleteSolidError,Referenced,solid {solid:?} is referenced by live {dependent} {dependent_index},no,transitive (via LifecycleError::DeleteSolid),yes
topology,EdgeDomainError,Missing,{curve_type} edge has no authoritative parameter range,yes (invalid_topology/edge_domain_missing),transitive (stringified via heal/check helpers),no
topology,EdgeDomainError,Invalid,{curve_type} edge has invalid parameter range [{start} {end}],yes (invalid_topology/edge_domain_invalid),transitive (stringified via heal/check helpers),yes
